date,0,1,2,3,4,total,mean
1999-12-10 07:00:00,0,0,0,2,0,2,0.4
1999-12-11 06:39:00,0,2,0,0,0,2,0.4
2000-01-04 11:39:00,0,0,0,1,0,1,0.2
2000-01-05 05:35:00,2,0,0,0,0,2,0.4
2000-01-05 13:24:00,0,1,0,0,0,1,0.2
2000-01-06 07:19:00,0,0,0,2,0,2,0.4
2000-01-07 16:23:00,0,0,0,1,0,1,0.2
2000-01-07 16:29:00,0,1,0,0,0,1,0.2
2000-01-07 23:29:00,2,0,0,0,0,2,0.4
2000-01-10 01:43:00,0,0,0,2,0,2,0.4
2000-01-10 02:29:00,0,0,0,2,0,2,0.4
2000-01-12 09:52:00,0,0,0,0,2,2,0.4
2000-01-13 02:30:00,2,0,0,0,0,2,0.4
2000-01-13 03:35:00,2,0,0,0,0,2,0.4
2000-01-17 00:47:00,2,0,0,0,0,2,0.4
2000-01-18 10:03:00,2,0,0,0,0,2,0.4
2000-01-18 10:06:00,0,0,0,2,0,2,0.4
2000-01-27 08:44:00,2,0,0,0,0,2,0.4
2000-01-31 04:28:00,2,0,0,0,0,2,0.4
2000-01-31 06:21:00,2,0,0,0,0,2,0.4
2000-02-01 08:07:00,0,0,0,0,2,2,0.4
2000-02-02 05:44:00,0,0,0,0,2,2,0.4
2000-02-04 08:54:00,2,0,0,0,0,2,0.4
2000-02-04 09:09:00,2,0,0,0,0,2,0.4
2000-02-07 07:36:00,0,0,2,0,0,2,0.4
2000-02-07 07:37:00,0,0,2,0,0,2,0.4
2000-02-07 07:39:00,0,0,2,0,0,2,0.4
2000-02-07 08:53:00,2,0,0,0,0,2,0.4
2000-02-09 02:12:00,0,0,2,0,0,2,0.4
2000-02-09 02:27:00,2,0,0,0,0,2,0.4
2000-02-10 01:46:00,0,0,0,0,1,1,0.2
2000-02-11 04:31:00,2,0,0,0,0,2,0.4
2000-02-11 07:39:00,0,0,0,2,0,2,0.4
2000-02-15 04:53:00,0,0,2,0,0,2,0.4
2000-02-15 05:42:00,0,0,0,0,2,2,0.4
2000-02-17 05:07:00,2,0,0,0,0,2,0.4
2000-02-17 05:39:00,0,0,0,0,2,2,0.4
2000-02-17 07:01:00,0,0,0,1,0,1,0.2
2000-02-17 07:37:00,0,0,0,1,0,1,0.2
2000-02-21 00:07:00,0,0,0,2,0,2,0.4
2000-02-21 23:03:00,0,0,2,0,0,2,0.4
2000-02-28 03:19:00,2,0,0,0,0,2,0.4
2000-03-02 05:07:00,2,0,0,0,0,2,0.4
2000-03-02 05:08:00,0,0,0,0,2,2,0.4
2000-03-03 00:39:00,0,0,0,2,0,2,0.4
2000-03-03 02:53:00,0,0,2,0,0,2,0.4
2000-03-03 04:33:00,0,0,0,2,0,2,0.4
2000-03-03 04:48:00,0,0,2,0,0,2,0.4
